"cena","Oferta od","Kategoria","Marka pojazdu","Model pojazdu","Generacja","Rok produkcji","Przebieg","Pojemnoœæ skokowa","Rodzaj paliwa","Moc","Skrzynia biegów","Napêd","Typ","Liczba drzwi","Liczba miejsc","Kolor","Metalik","VAT mar¿a","Kraj pochodzenia","Numer rejestracyjny pojazdu","Zarejestrowany w Polsce","Pierwszy w³aœciciel","Bezwypadkowy","Serwisowany w ASO","Stan","VIN","Emisja CO2","Mo¿liwoœæ finansowania","Gwarancja dealerska (w cenie)","Pierwsza rejestracja","Faktura VAT","Leasing","Miesiêczna rata","Wersja","Filtr cz¹stek sta³ych","Per³owy","lub do (przebieg km)","Akryl (niemetalizowany)","Uszkodzony","Homologacja ciê¿arowa","Matowy","Tuning","Kierownica po prawej (Anglik)"
"39 499","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","208 600 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Niebieski","Tak","Tak","Niemcy","BRAKNR","Tak","Tak","Tak","Tak","U¿ywane","Wyœwietl VIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","91 000 km","1 968 cm3","Diesel","150 KM","Manualna","Na przednie ko³a","Sedan","4","5","Czarny",NA,NA,NA,NA,NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48 900","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","101 694 km","1 968 cm3","Diesel","177 KM","Manualna","Na przednie ko³a","Sedan","4","5","Srebrny",NA,"Tak",NA,NA,"Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","120 g/km","Tak","12 miesiêcy","01/09/2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2017","129 396 km","1 968 cm3","Diesel","150 KM","Manualna","Na przednie ko³a","Sedan","5","5","Niebieski","Tak",NA,"Polska",NA,"Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"24/02/2017","Tak","Tak","363 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27 000","Firmy","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","278 592 km","1 390 cm3","Benzyna","160 KM","Manualna","Na przednie ko³a","Sedan","5","5","Srebrny","Tak",NA,"Polska",NA,"Tak",NA,NA,NA,"U¿ywane","Wyœwietl VIN",NA,"Tak",NA,"25/03/2013",NA,"Tak","161 PLN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49 500","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2014","100 600 km","1 968 cm3","Diesel","177 KM","Automatyczna","4x4 (sta³y)","Kombi","5","5","Szary",NA,NA,NA,NA,NA,NA,NA,NA,"U¿ywane","Wyœwietl VIN","149 g/km",NA,NA,"15/07/2014",NA,NA,NA,"2.0 TDI 4Mot Highline DSG",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35 100","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","190 000 km","1 968 cm3","Diesel","140 KM","Automatyczna","Na przednie ko³a","Kombi","5","5","Srebrny","Tak",NA,"Polska","WB 0236R","Tak",NA,"Tak",NA,"U¿ywane","Wyœwietl VIN","135 g/km",NA,NA,NA,NA,NA,NA,"Variant 2.0 TDI DSG BlueMotion Technology","Tak",NA,NA,NA,NA,NA,NA,NA,NA
"38 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2013","194 800 km","1 968 cm3","Diesel","140 KM","Manualna","Na przednie ko³a","Kombi","5","5","Czarny","Tak",NA,"Polska",NA,"Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","119 g/km",NA,NA,"10/05/2013",NA,NA,NA,"2.0 TDI Comfortline",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38 400","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2012","183 000 km","1 968 cm3","Diesel","170 KM","Manualna","Na przednie ko³a","Sedan","4","5","Szary","Tak",NA,NA,"PZ607LH","Tak",NA,"Tak","Tak","U¿ywane","Wyœwietl VIN","120 g/km",NA,NA,"28/01/2013",NA,NA,NA,"2.0 TDI BlueMotion Technology",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23 900","Osoby prywatnej","Osobowe","Volkswagen","Passat","B7 (2010-2014)","2011","319 000 km","1 598 cm3","Diesel","105 KM","Manualna","Na przednie ko³a","Kombi","5","5","Czarny","Tak",NA,NA,"WS68884","Tak",NA,"Tak",NA,"U¿ywane","Wyœwietl VIN",NA,NA,NA,"12/10/2011",NA,NA,NA,"Variant 1.6 TDI BlueMotion",NA,NA,NA,NA,NA,NA,NA,NA,NA
